ip,domain_1,domain_2,domain_3,domain_4,domain_5,domain_6,domain_7,domain_8,domain_9,domain_10,domain_11,domain_12,domain_13,domain_14,domain_15,domain_16,domain_17,domain_18,domain_19,domain_20,domain_21,domain_22,domain_23,domain_24,domain_25,domain_26,domain_27,domain_28,domain_29,domain_30,domain_31,domain_32,domain_33,domain_34,domain_35,domain_36,domain_37,domain_38,domain_39,domain_40,domain_41,domain_42,domain_43,domain_44,domain_45,domain_46,domain_47,domain_48,domain_49,domain_50,domain_51,domain_52,domain_53,domain_54,domain_55,domain_56,domain_57,domain_58,domain_59,domain_60,domain_61,domain_62,domain_63,domain_64,domain_65,domain_66,domain_67,domain_68,domain_69,domain_70,domain_71,domain_72,domain_73,domain_74,domain_75,domain_76,domain_77,domain_78,domain_79,domain_80,domain_81,domain_82,domain_83,domain_84,domain_85,domain_86,domain_87,domain_88,domain_89,domain_90,domain_91,domain_92,domain_93,domain_94,domain_95,domain_96,domain_97,domain_98,domain_99,domain_100,domain_101,domain_102,domain_103,domain_104,domain_105,domain_106,domain_107,domain_108,domain_109,domain_110,domain_111,domain_112,domain_113,domain_114,domain_115,domain_116,domain_117,domain_118,domain_119,domain_120,domain_121,domain_122,domain_123,domain_124,domain_125,domain_126,domain_127,domain_128,domain_129,domain_130,domain_131,domain_132,domain_133,domain_134,domain_135,domain_136,domain_137,domain_138,domain_139,domain_140,domain_141,domain_142,domain_143,domain_144,domain_145,domain_146,domain_147,domain_148,domain_149,domain_150,domain_151,domain_152,domain_153,domain_154,domain_155,domain_156,domain_157,domain_158,domain_159,domain_160,domain_161,domain_162,domain_163,domain_164,domain_165,domain_166,domain_167,domain_168,domain_169,domain_170,domain_171,domain_172,domain_173,domain_174,domain_175,domain_176,domain_177,domain_178,domain_179,domain_180,domain_181,domain_182,domain_183,domain_184,domain_185,domain_186,domain_187,domain_188,domain_189,domain_190,domain_191,domain_192,domain_193,domain_194,domain_195,domain_196,domain_197,domain_198,domain_199,domain_200,domain_201,domain_202,domain_203,domain_204,domain_205,domain_206,domain_207,domain_208,domain_209,domain_210,domain_211
encuesta.universita.usach.cl.,encuesta_universita.usach.cl
periodismo.udesantiago.cl.,www.periodismo.udesantiago.cl
asoacad.usach.cl.,www.asoacad.usach.cl
doctoradoalimentos.usach.cl.,www.doctoradoalimentos.usach.cl
smartcitylab-usach.cl.,mail.smartcitylab-usach.cl,smartcitylab.usach.cl,www.smartcitylab-usach.cl,www.smartcitylab.usach.cl
fima.usach.cl.,www.fima.usach.cl
arquitectura.usach.cl.,www.arquitectura.usach.cl
magisterelectrica.usach.cl.,www.magisterelectrica.usach.cl
campus.usach.cl.,www.campus.usach.cl
cli.usach.cl.,www.cli.usach.cl
rhistoria.usach.cl.,www.rhistoria.usach.cl
webpay-server.usach.cl.,www.webpay-server.usach.cl
rucahueche.usach.cl.,www.rucahueche.usach.cl
158.170.66.188,idi.fing.usach.cl
recursosaprendizajecastellano.usach.cl.,www.recursosaprendizajecastellano.usach.cl
158.170.64.116,adquisiciones.udesantiago.cl,agroecologia.usach.cl,blearning.usach.cl,csalud.usach.cl,departamentodeportes.usach.cl,drupal.usach.cl,dtt.udesantiago.cl,enacot2.usach.cl,endfisica.usach.cl,enlinea.usach.cl,en.usach.cl,hectorchavez.usach.cl,historia.udesantiago.cl,icpr2012.usach.cl,idiomas.usach.cl,lec.usach.cl,logt.usach.cl,magestec.usach.cl,mri.usach.cl,paiep.udesantiago.cl,periodismo.udesantiago.cl,plantmed.usach.cl,portal.udesantiago.cl,possibilism.usach.cl,progoa.usach.cl,rrhh.usach.cl,rucahueche.usach.cl,sustentabilidades.usach.cl,talentosartisticos.usach.cl,tienda.segic.cl,transparencia.udesantiago.cl,udesantiagoaldia.usach.cl,www.adquisiciones.udesantiago.cl,www.agroecologia.usach.cl,www.ciudadycalidad.usach.cl,www.csalud.usach.cl,www.dtt.udesantiago.cl,www.enacot2.usach.cl,www.endfisica.usach.cl,www.enlinea.usach.cl,www.historia.udesantiago.cl,www.idiomas.usach.cl,www.logt.usach.cl,www.magestec.usach.cl,www.periodismo.udesantiago.cl,www.possibilism.usach.cl,www.progoa.usach.cl,www.rrhh.usach.cl,www.rucahueche.usach.cl,www.sustentabilidades.usach.cl,www.talentosartisticos.usach.cl,www.udesantiagoaldia.usach.cl
ugb.usach.cl.,www.ugb.usach.cl
158.170.64.110,blacpma.usach.cl,boletin.segic.cl,cgem.usach.cl,jint.usach.cl,postgrados.usach.cl,postgrado.usach.cl,segic.cl,segic.usach.cl,transparenciaactiva.usach.cl,transparencia.segic.cl,transparencia.usach.cl,www.blacpma.usach.cl,www.boletin.segic.cl,www.cgem.usach.cl,www.jint.usach.cl,www.postgrados.usach.cl,www.postgrado.usach.cl,www.segic.cl,www.transparenciaactiva.usach.cl,www.transparencia.usach.cl
158.170.64.113,adquisiciones.usach.cl,leo.usach.cl,pmi1502.usach.cl,test-admision.usach.cl,www.adquisiciones.usach.cl,www.leo.usach.cl
www.smartcitylab-usach.cl.,smartcitylab.usach.cl,www.smartcitylab.usach.cl
ingenieriaindustrial-usach.cl.,ingenieriaindustrial.usach.cl,mail.ingenieriaindustrial-usach.cl,www.ingenieriaindustrial-usach.cl,www.ingenieriaindustrial.usach.cl
coorcal3mbi.usach.cl.,www.coorcal3mbi.usach.cl
158.170.66.22,bepostulacionesvrae.usach.cl,cloud.segic.cl,postulacionesvrae.usach.cl
158.170.66.25,nanoserver.usach.cl
158.170.66.24,archivopatrimonial.usach.cl,isidoraaguirre.usach.cl,reformaute.usach.cl,teknos.usach.cl,windowsnas.usach.cl,www.archivopatrimonial.usach.cl,www.isidoraaguirre.usach.cl,www.reformaute.usach.cl,www.teknos.usach.cl
doctorado.energiasostenible.usach.cl.,www.doctorado.energiasostenible.usach.cl
158.170.66.27,academica3.usach.cl
158.170.66.26,archivodga.usach.cl,nomasviolencia.usach.cl,www.archivodga.usach.cl,www.nomasviolencia.usach.cl
webpay-sdt.usach.cl.,webpaysdt.usach.cl
hosting.usach.cl.,elapdis.usach.cl,revistaidea.usach.cl,usuariocorreo.usach.cl,www.cphs.usach.cl,www.dcs.usach.cl,www.deportes.usach.cl
158.170.66.28,digea.usach.cl,prontus.digea.usach.cl,www.digea.usach.cl
na06.primo.exlibrisgroup.com.,descubridor.usach.cl,repositorio.usach.cl
158.170.77.129,cambioporvocacion.usach.cl,dfii.usach.cl,pace.usach.cl,pacevirtual.usach.cl,pares.usach.cl,ticpaiep.usach.cl,www.cambioporvocacion.usach.cl,www.pace.usach.cl,www.pares.usach.cl,www.ticpaiep.usach.cl
dipmad.usach.cl.,www.dipmad.usach.cl
adquisiciones.usach.cl.,www.adquisiciones.usach.cl
biblioteca.usach.cl.,www.biblioteca.usach.cl
educofacimed.usach.cl.,www.educofacimed.usach.cl
158.170.68.70,librenms.usach.cl
158.170.68.74,sib.usach.cl
extension.usach.cl.,www.extension.usach.cl
linguisticayliteratura.usach.cl.,www.linguisticayliteratura.usach.cl
vra.usach.cl.,www.vra.usach.cl
158.170.64.86,beneficio-matricula.usach.cl,cachorro2017.usach.cl,ideasdecalidad.usach.cl,pagaredearancel.usach.cl,periodointensivo.usach.cl,superclave.usach.cl,www.cachorro2017.usach.cl,www.pagaredearancel.usach.cl,www.periodointensivo.usach.cl,www.superclave.usach.cl
158.170.11.66,cdfing.usach.cl
enzal2019.usach.cl.,www.enzal2019.usach.cl
dtt.udesantiago.cl.,www.dtt.udesantiago.cl
sistema-facimed.usach.cl.,www.sistema-facimed.usach.cl
cba.usach.cl.,www.cba.usach.cl
158.170.35.17,eyesfood.diinf.usach.cl,huelen.diinf.usach.cl,teamp.diinf.usach.cl
158.170.35.18,wobani.diinf.usach.cl
empresas.usach.cl.,empresas.empleosfactec.usach.cl
tci.usach.cl.,www.tci.usach.cl
ghs.google.com.,portal.innovo.usach.cl,portal.segic.usach.cl
tap.usach.cl.,www.tap.usach.cl
postulacion-postgrado.usach.cl.,www.postulacion-postgrado.usach.cl
progoa.usach.cl.,www.progoa.usach.cl
pagos.usach.cl.,www.pagos.usach.cl
funcionarios.usach.cl.,www.funcionarios.usach.cl
caiusach.cl.,cai.usach.cl,www.cai.usach.cl
fisica.postgrado.usach.cl.,www.fisica.postgrado.usach.cl
liceos.usach.cl.,www.liceos.usach.cl
104.18.21.49,admision-visitas.usach.cl,datosadmision.dei.usach.cl,espera.usach.cl,matricula-online-test.usach.cl,puntajes.usach.cl,services-test.usach.cl,services.usach.cl,usach.cl,www.usach.cl
vriic.usach.cl.,www.vriic.usach.cl
158.170.64.234,easyappointments.usach.cl,lista-espera.usach.cl,matricula-online.usach.cl,postulaciones.usach.cl,repostulacion.usach.cl,visitas.usach.cl,www.espera.usach.cl,www.lista-espera.usach.cl,www.matricula-online-test.usach.cl,www.matricula-online.usach.cl,www.postulaciones.usach.cl,www.puntajes.usach.cl,www.repostulacion.usach.cl,www.visitas.usach.cl
158.170.64.236,registro.usach.cl,www.registro.usach.cl
158.170.64.237,listaespera.usach.cl,www.listaespera.usach.cl
controlaccountability.usach.cl.,www.controlaccountability.usach.cl
api-externa.usach.cl.,www.api-externa.usach.cl
testsgp.uci.usach.cl.,www.testsgp.uci.usach.cl
fqyb-doctorado-biotecnologia.usach.cl.,www.fqyb-doctorado-biotecnologia.usach.cl
leo.usach.cl.,www.leo.usach.cl
postulaciones.usach.cl.,www.postulaciones.usach.cl
158.170.35.40,corelia.diinf.usach.cl,inventario.diinf.usach.cl
despega.usach.cl.,www.despega.usach.cl
158.170.66.101,cef.usach.cl,dim.usach.cl,fima.usach.cl,fmoreno.usach.cl,portalfisicaeducativa.usach.cl,tap.usach.cl,tci.usach.cl,tuaqf.usach.cl,tuci.usach.cl,vime.arquitectura.usach.cl,www.cef.usach.cl,www.dim.usach.cl,www.fima.usach.cl,www.portalfisicaeducativa.usach.cl,www.tap.usach.cl,www.tci.usach.cl,www.tuaqf.usach.cl,www.tuci.usach.cl,www.vime.arquitectura.usach.cl
archivopatrimonial.usach.cl.,www.archivopatrimonial.usach.cl
158.170.66.105,frontend.citiaps.usach.cl,jayma.usach.cl,orson.citiaps.usach.cl,taiga.citiaps.usach.cl
cei.usach.cl.,www.cei.usach.cl
158.170.66.107,eavirtual.arquitectura.usach.cl,www.eavirtual.arquitectura.usach.cl
67.208.40.192,cai.usach.cl,www.cai.usach.cl
evaluacion.usach.cl.,www.evaluacion.usach.cl
std.usach.cl.,www.std.usach.cl
secretaria.usach.cl.,www.secretaria.usach.cl
pagoenlinea.usach.cl.,www.pagoenlinea.usach.cl
158.170.20.206,kpifae.usach.cl
labteldie.usach.cl.,www.labteldie.usach.cl
158.170.66.157,sigsalas.registro.usach.cl
158.170.66.156,funcionarios.usach.cl,www.funcionarios.usach.cl
sfp.usach.cl.,www.sfp.usach.cl
158.170.66.153,capacitacion.segic.cl,charlas2021.usach.cl,tips2021.usach.cl,www.capacitacion.segic.cl,www.charlas2021.usach.cl,www.tips2021.usach.cl
calidad.usach.cl.,www.calidad.usach.cl
158.170.66.151,internacional.usach.cl,www.internacional.usach.cl
13.216.95.52,ferialaboral.usach.cl,laboral.usach.cl,laetitia.usach.cl,www.laboral.usach.cl,www.laetitia.usach.cl
canvas.usach.cl.,www.canvas.usach.cl
158.170.11.35,gdrc.fing.usach.cl,sas.fing.usach.cl
158.170.35.151,csl.diinf.usach.cl,cslmg.diinf.usach.cl
158.170.35.150,mustafar.diinf.usach.cl
matricula-online.usach.cl.,www.matricula-online.usach.cl
superclave.usach.cl.,www.superclave.usach.cl
158.170.80.226,diqb.usach.cl,diq.usach.cl,www.diq.usach.cl
158.170.10.73,reservasvime.usach.cl,sistemareservassalones.vime.usach.cl,www.sistemareservassalones.vime.usach.cl
158.170.10.71,ssotest.segic.cl,traefik1071.usach.cl
158.170.10.70,loa.usach.cl,universitas.usach.cl,www.loa.usach.cl
diseno.usach.cl.,www.diseno.usach.cl
158.170.10.76,loa.usach.cl,www.loa.usach.cl
158.170.10.75,loa.usach.cl,www.loa.usach.cl
158.170.10.74,cui-test.segic.cl,oauth.usach.cl
repostulacion.usach.cl.,www.repostulacion.usach.cl
transparenciaactiva.usach.cl.,www.transparenciaactiva.usach.cl
capacitacion.segic.cl.,www.capacitacion.segic.cl
158.170.77.227,www.postitulobasica-matriculas.usach.cl
diplomadoestadistica.usach.cl.,www.diplomadoestadistica.usach.cl
158.170.77.225,palillo.usach.cl
158.170.14.11,doctoradoinnovacion.fing.usach.cl
idea.usach.cl.,www.idea.usach.cl
proyectoaguasgrises.usach.cl.,www.proyectoaguasgrises.usach.cl
periododetransicion.usach.cl.,www.periododetransicion.usach.cl
ingenieriabiomedica.usach.cl.,www.ingenieriabiomedica.usach.cl
35.175.100.24,empleosfachuma.usach.cl,empleosfactec.usach.cl,empresas.empleosfactec.usach.cl,empresas.usach.cl,www.formacionyeducacion.usach.cl
panelqyb.usach.cl.,www.panelqyb.usach.cl
postgrados.usach.cl.,postgrado.usach.cl,www.postgrados.usach.cl,www.postgrado.usach.cl
uvirtual.usach.cl.,cvirtual.usach.cl,www.uvirtual.usach.cl
158.170.66.78,derecho.usach.cl,rcivildata.segic.cl,www.derecho.usach.cl
158.170.66.79,educacioncontinua.usach.cl,www.educacioncontinua.usach.cl
cfk.usach.cl.,www.cfk.usach.cl
acreditacion2020.usach.cl.,www.acreditacion2020.usach.cl
vime.usach.cl.,www.vime.usach.cl
reuna.usach.cl.,www.reuna.usach.cl
158.170.66.73,dve.usach.cl,egresados.usach.cl,especialistas.usach.cl,eva.usach.cl,fondo.vime.usach.cl,somosvinculacion.vime.usach.cl,vincula.usach.cl,www.dve.usach.cl,www.egresados.usach.cl
msp.usach.cl.,www.msp.usach.cl
158.170.66.71,panelqyb.usach.cl,prosecucionqyb.usach.cl,qybdigital.usach.cl,www.panelqyb.usach.cl,www.qybdigital.usach.cl
boletin.segic.cl.,www.boletin.segic.cl
uie.usach.cl.,www.uie.usach.cl
salas.usach.cl.,www.salas.usach.cl
158.170.66.74,sgp.uci.usach.cl,www.sgp.uci.usach.cl
smartcitylab.usach.cl.,www.smartcitylab.usach.cl
158.170.66.75,testsgp.uci.usach.cl,www.testsgp.uci.usach.cl
revistagpt.usach.cl.,www.revistagpt.usach.cl
filoadmin.usach.cl.,www.filoadmin.usach.cl
usachteapoya.usach.cl.,www.usachteapoya.usach.cl
adquisiciones.udesantiago.cl.,www.adquisiciones.udesantiago.cl
158.170.68.148,servicesdev.usach.cl
analisisdac.usach.cl.,www.analisisdac.usach.cl
usachparticipa.usach.cl.,www.usachparticipa.usach.cl
diplomadoentecnicasanaliticas.usach.cl.,www.diplomadoentecnicasanaliticas.usach.cl
sismatalunuevo.usach.cl.,www.sismatalunuevo.usach.cl
qybdigital.usach.cl.,www.qybdigital.usach.cl
postitulobasica-matriculas.usach.cl.,www.postitulobasica-matriculas.usach.cl
image-register.dti.usach.cl.,www.image-register.dti.usach.cl
geoingenieria.usach.cl.,www.geoingenieria.usach.cl
transparencia.usach.cl.,transparenciaactiva.usach.cl,www.transparenciaactiva.usach.cl,www.transparencia.usach.cl
fondocredito.usach.cl.,www.fondocredito.usach.cl
dve.usach.cl.,www.dve.usach.cl
158.170.35.27,deptmeeting.diinf.usach.cl,meetingengine.diinf.usach.cl
sistema.oirs.usach.cl.,www.sistema.oirs.usach.cl
158.170.64.201,mail.usach.cl,sso.innovo.usach.cl,sso.portal.usach.cl,sso.segic.cl,sso.usach.cl
158.170.64.202,llavecampus.usach.cl,sistema.campus.usach.cl,sistema-facimed.usach.cl,sistema.oirs.usach.cl,sistemaoirs.usach.cl,test.helpdesk.usach.cl,www.llavecampus.usach.cl,www.sistema.campus.usach.cl,www.sistema-facimed.usach.cl,www.sistema.oirs.usach.cl,www.sistemaoirs.usach.cl,www.test.helpdesk.usach.cl
158.170.64.205,capa.online.usach.cl,fude.online.usach.cl,sdt.online.usach.cl
158.170.64.204,cli.usach.cl,www.cli.usach.cl
158.170.64.207,admisionagenda-test.usach.cl,admisionagenda.usach.cl,cupos-directos.admision.usach.cl,www.admisionagenda-test.usach.cl
dciind.usach.cl.,www.dciind.usach.cl
158.170.64.209,apiapp.admision.usach.cl
pagosyserviciosenlinea.usach.cl.,www.pagosyserviciosenlinea.usach.cl
158.170.10.185,testsai.usach.cl
158.170.10.184,grin.fing.usach.cl
derecho.usach.cl.,www.derecho.usach.cl
logt.usach.cl.,www.logt.usach.cl
158.170.10.181,intrafae.usach.cl
ciescoop.usach.cl.,www.ciescoop.usach.cl
198.185.159.145,fudea.usach.cl,www.fudea.usach.cl
198.185.159.144,fudea.usach.cl,www.fudea.usach.cl
iso.segic.cl.,www.iso.segic.cl
educacion.usach.cl.,www.educacion.usach.cl
158.170.64.139,expedientealumnosingenieria.usach.cl,expedienterrhh2.usach.cl,expedienterrhh.usach.cl,kee.segic.cl,labgetic.usach.cl,traefik.usach.cl
periodointensivo.usach.cl.,www.periodointensivo.usach.cl
dca.usach.cl.,www.dca.usach.cl
arquitecturacontemporaneaentierra.usach.cl.,www.arquitecturacontemporaneaentierra.usach.cl
158.170.66.135,dimerc.citiaps.usach.cl
credencial.usach.cl.,www.credencial.usach.cl
158.170.66.137,ciudadsur.citiaps.usach.cl
158.170.66.136,appvincula.usach.cl
158.170.64.23,proveedores.usach.cl
158.170.66.138,plataforma-firma-digital.segic.cl
labiotam.usach.cl.,www.labiotam.usach.cl
158.170.64.26,credencial-oauth.usach.cl,pagosyserviciosenlinea.usach.cl,webpay-sdt.usach.cl,webpaysdt.usach.cl,webpay-server.usach.cl,www.pagosyserviciosenlinea.usach.cl,www.webpay-server.usach.cl
ingenieriadeprocesos.usach.cl.,www.ingenieriadeprocesos.usach.cl
158.170.64.24,creditocomplementario.usach.cl,cuotabasica2.usach.cl,cuotabasica.usach.cl,ecdp.die.usach.cl,egresadosindustria.usach.cl,elapdis.usach.cl,encuestas.udesantiago.cl,encuestas.usach.cl,encuesta_universita.usach.cl,expotecno.usach.cl,fjta.usach.cl,flagtec.usach.cl,hosting.usach.cl,integracion-ingenieria.usach.cl,intranet.usach.cl,iso.segic.cl,registro.vridei.usach.cl,reservaderecintos.usach.cl,revistaidea.usach.cl,sdtonline.usach.cl,sismatalunuevo.usach.cl,tallergrafico.usach.cl,usuariocorreo.usach.cl,www.cphs.usach.cl,www.dcs.usach.cl,www.deportes.usach.cl,www.ecdp.die.usach.cl,www.encuestas.usach.cl,www.iso.segic.cl,www.sismatalunuevo.usach.cl
cef.usach.cl.,www.cef.usach.cl
redmujerescyt.usach.cl.,www.redmujerescyt.usach.cl
hosting.udesantiago.cl.,www.ups.udesantiago.cl
